PredictionString,image_id
7 0.999875 603.008 516.393 950.567 1022.391 7 0.999779 218.642 48.326 458.911 477.872 7 0.999357 121.304 423.164 326.906 710.341 7 0.997982 450.152 602.317 642.497 873.797 7 0.997491 391.732 195.824 603.306 540.697 7 0.991842 640.536 321.585 879.797 618.915 1 0.989697 562.952 106.311 759.318 365.073 7 0.978006 553.992 338.295 712.922 605.027 7 0.977923 262.184 435.098 431.531 591.177 5 0.704809 239.77 675.705 299.367 749.531 5 0.676569 337.688 633.887 400.706 723.112 1 0.671096 637.619 257.271 740.723 346.565 5 0.443779 386.912 681.947 425.935 721.294 6 0.390735 438.97 470.267 561.801 670.048 7 0.38246 540.876 186.627 571.776 239.086 7 0.278516 330.441 561.249 440.113 625.888 5 0.274333 333.804 612.62 449.392 736.102 5 0.261115 347.903 677.321 428.451 727.302 5 0.243979 399.637 612.881 451.447 691.209 1 0.236852 632.819 170.666 742.122 339.847 0 0.220977 480.33 595.143 565.532 658.147 5 0.178762 434.02 466.032 570.26 671.198 1 0.143649 242.424 680.965 299.857 750.295 5 0.126426 412.552 612.477 464.875 715.033 0 0.118157 241.837 680.975 300.09 750.48 5 0.109296 484.805 589.604 565.686 663.032 5 0.104119 342.475 679.344 395.278 723.067 5 0.102576 380.408 625.989 439.585 728.343 5 0.100162 329.139 638.479 361.459 684.879 0 0.097872 468.309 540.042 558.811 676.806 5 0.095696 390.462 601.322 468.617 733.425 5 0.083687 218.383 698.014 249.455 731.874 5 0.070914 368.13 680.116 462.299 733.524 7 0.063323 323.886 570.685 380.342 608.875 7 0.050677 334.554 562.353 454.942 737.285 1 0.044822 666.412 254.465 728.202 325.375 7 0.041067 400.714 606.126 446.423 687.392 5 0.038011 195.541 671.175 270.157 706.809 6 0.03675 468.309 540.042 558.811 676.806 7 0.034707 250.057 411.168 284.677 474.537 5 0.033995 364.005 564.014 432.998 625.505 6 0.03137 443.324 470.42 549.797 523.118 7 0.03091 450.427 757.515 482.257 872.864 0 0.029987 343.768 613.254 399.796 639.316 7 0.02974 240.615 681.438 300.64 750.621 7 0.027961 554.068 575.481 646.867 607.15 5 0.027604 390.497 556.444 445.53 615.0 0 0.027269 477.308 563.463 545.946 640.436 7 0.027153 268.136 440.569 347.941 602.665 0 0.025864 321.885 570.556 391.81 615.73 5 0.025704 397.756 622.085 427.046 687.826 7 0.025052 446.919 636.945 563.458 836.555 ,test/0000.jpg
5 0.981224 132.021 1.091 497.412 286.71 6 0.94991 757.948 658.955 894.92 990.693 5 0.869226 348.063 246.664 756.846 694.68 3 0.288892 347.578 249.048 756.823 697.281 4 0.19443 349.096 245.899 756.789 692.044 0 0.181375 641.047 657.055 680.967 829.935 2 0.099854 346.527 248.936 757.438 698.52 0 0.06368 753.598 659.425 892.328 986.353 ,test/0001.jpg
1 0.969333 783.372 411.265 1023.672 1024.0 1 0.960832 422.642 268.185 639.676 327.643 1 0.884657 294.037 311.084 1003.743 746.736 1 0.711271 666.332 229.178 1023.984 328.776 1 0.613572 107.228 361.169 308.651 598.674 1 0.59559 673.453 226.348 850.912 320.592 0 0.593979 312.802 329.765 1015.13 409.577 1 0.554174 959.967 229.681 1023.808 344.922 1 0.537547 98.246 277.284 422.659 589.837 0 0.378691 127.472 310.363 267.716 594.381 0 0.375753 102.012 283.327 426.674 586.892 6 0.343872 301.702 327.577 1002.348 657.565 0 0.30243 106.54 273.908 426.227 416.569 0 0.300446 882.058 478.132 995.7 628.738 4 0.27463 865.737 241.883 916.195 325.41 1 0.248679 993.958 314.354 1021.021 389.188 0 0.241997 296.325 317.324 1016.693 699.221 0 0.170541 84.634 295.559 335.223 459.46 1 0.1631 120.097 451.2 245.509 604.687 1 0.162819 742.166 236.382 942.069 320.922 1 0.1584 1000.898 307.133 1024.0 331.401 5 0.157517 0.13 233.089 152.758 475.933 0 0.150722 257.242 279.729 302.078 404.16 1 0.147443 669.141 232.904 764.127 321.308 0 0.141864 359.91 323.277 1021.044 373.854 1 0.141375 88.398 273.648 424.612 443.187 0 0.130353 659.225 292.507 751.322 320.667 0 0.123689 233.931 277.673 319.15 422.642 1 0.102563 0.0 232.599 164.405 466.074 1 0.098059 869.816 245.613 913.642 324.725 0 0.094938 868.488 245.517 917.056 321.944 0 0.09193 186.093 378.03 236.284 563.459 1 0.079404 755.595 228.556 844.264 317.328 5 0.078503 868.104 244.223 918.962 322.087 0 0.076748 339.375 325.727 1017.451 477.221 0 0.073847 184.035 275.153 333.192 455.349 0 0.072805 783.894 407.388 1023.326 1024.0 1 0.06822 236.912 529.278 326.186 590.066 1 0.063657 122.639 492.253 324.017 604.415 1 0.053314 991.44 231.773 1023.768 325.581 1 0.047871 957.501 310.978 1019.414 379.464 1 0.042703 1002.483 327.486 1021.77 407.336 0 0.042376 818.322 793.088 873.061 929.854 1 0.040475 358.929 297.792 1016.416 390.336 1 0.040292 963.963 283.314 1024.0 330.62 0 0.038119 237.661 284.309 296.336 378.001 3 0.034911 0.0 232.232 160.301 465.416 0 0.029295 143.529 301.908 392.772 494.881 0 0.029129 0.0 276.832 252.144 465.345 0 0.028399 275.08 290.646 307.096 414.4 2 0.027745 676.714 231.324 763.516 321.936 1 0.026877 878.768 229.948 1024.0 371.111 ,test/0002.jpg
9 0.999629 151.291 263.211 912.516 828.255 9 0.862571 13.046 25.877 991.5 990.131 9 0.44439 0.0 8.514 1011.145 480.793 9 0.155793 0.0 667.997 993.59 1019.782 9 0.122223 8.021 0.0 376.27 1024.0 ,test/0003.jpg
1 0.981351 199.121 262.026 867.631 778.459 1 0.48556 428.845 407.457 655.738 564.594 0 0.424605 437.673 407.774 654.657 556.806 9 0.121731 432.568 406.762 658.402 560.42 2 0.081761 420.078 404.066 655.111 562.469 7 0.06452 420.107 404.157 655.706 561.874 1 0.063163 380.952 369.677 740.424 588.216 0 0.039936 214.405 352.831 863.497 771.403 5 0.032295 421.293 404.164 656.195 560.715 ,test/0004.jpg
2 0.99998 348.834 227.347 771.352 705.825 ,test/0005.jpg
5 0.971342 356.272 452.266 836.385 722.925 7 0.96857 276.109 13.511 415.001 174.03 0 0.94785 896.923 785.992 1022.955 915.998 4 0.910432 427.106 20.444 665.57 275.326 5 0.770368 61.869 374.813 225.961 740.285 5 0.745226 0.333 69.73 69.774 219.628 0 0.540126 600.771 0.0 702.395 84.539 0 0.521711 1.887 809.142 91.125 940.545 0 0.480554 195.694 549.606 285.294 706.049 0 0.453905 190.336 644.053 312.27 873.522 7 0.24588 193.506 661.707 319.448 878.29 5 0.236805 192.16 640.36 303.656 869.252 4 0.189869 59.119 381.196 223.008 746.332 3 0.178637 0.917 69.023 69.379 219.826 0 0.143873 300.094 634.54 379.207 745.164 1 0.11298 601.716 0.0 701.127 83.501 5 0.105174 199.123 548.773 282.798 705.183 3 0.096158 190.954 651.411 314.977 872.349 1 0.077555 199.049 549.066 280.871 703.102 9 0.041457 2.663 806.221 91.764 940.124 4 0.040173 359.391 451.913 833.938 718.801 7 0.030807 0.428 68.914 68.22 219.587 6 0.029799 2.738 812.019 88.231 939.674 ,test/0006.jpg
9 0.964405 290.278 82.701 965.079 749.722 1 0.950869 245.71 885.516 609.967 1023.332 0 0.715472 96.094 61.225 1003.747 932.242 0 0.44716 0.196 535.199 306.979 1021.966 1 0.437125 114.307 92.354 925.986 925.16 7 0.428582 1.457 866.916 26.146 1021.772 9 0.209369 566.382 485.557 897.013 737.695 5 0.180432 3.025 866.987 26.147 1021.541 1 0.155165 883.87 889.598 1022.805 1022.739 9 0.13748 353.785 146.456 550.351 676.069 0 0.080357 777.426 89.089 866.925 185.369 9 0.076928 630.542 129.022 997.96 579.813 1 0.070291 346.625 893.059 537.8 1024.0 1 0.069925 85.267 453.468 876.533 914.675 1 0.067794 223.703 898.073 380.61 1024.0 1 0.057715 421.855 888.21 604.919 1023.072 0 0.053307 90.104 396.082 874.185 918.436 0 0.049272 12.85 533.383 626.945 1024.0 0 0.044307 349.294 469.329 997.058 1024.0 9 0.041371 397.253 124.9 713.036 723.037 1 0.038749 702.671 92.476 775.625 159.112 1 0.031695 880.39 554.616 933.147 676.098 1 0.028515 162.591 955.765 203.475 1019.069 1 0.027056 2.694 866.975 26.926 1021.075 ,test/0007.jpg
7 0.999798 161.305 534.245 468.031 959.514 7 0.999289 391.682 464.876 697.63 874.73 7 0.999156 5.115 614.437 180.387 875.259 7 0.99878 1.602 358.76 275.464 640.259 7 0.961151 680.834 528.963 791.598 697.955 7 0.932715 226.49 491.426 324.733 562.313 7 0.880684 535.616 426.662 712.508 615.202 1 0.846986 646.544 643.408 723.469 759.975 0 0.802147 106.042 907.742 170.28 971.975 6 0.743186 775.189 281.692 974.911 615.039 7 0.725564 355.506 497.075 462.964 691.124 7 0.415973 1.357 536.697 48.734 679.629 7 0.373294 509.858 430.628 794.017 701.397 1 0.3228 360.141 498.651 459.524 622.349 1 0.282772 152.298 575.351 200.963 659.208 5 0.236055 774.754 277.67 979.125 608.194 1 0.211615 106.462 906.66 170.132 971.613 7 0.181197 149.007 518.68 257.368 662.826 0 0.176774 356.061 125.637 420.982 222.148 6 0.17028 676.468 447.624 813.773 633.189 5 0.146676 686.435 532.345 790.228 696.968 1 0.118431 677.663 445.604 811.523 634.675 5 0.101401 711.0 502.182 814.238 612.937 1 0.095759 148.44 508.594 250.697 660.64 5 0.095758 679.385 449.299 812.403 663.013 7 0.069372 642.906 446.562 811.296 706.671 7 0.067615 440.173 509.336 484.115 582.099 2 0.064647 359.789 500.089 446.127 585.596 7 0.056891 350.864 124.939 424.758 225.723 7 0.055718 150.404 495.633 326.487 596.837 6 0.05372 798.075 424.404 969.702 613.291 7 0.045879 417.219 513.132 467.523 603.833 2 0.038421 106.266 905.966 169.577 971.65 7 0.036064 139.101 483.475 319.758 675.344 7 0.033286 60.913 496.335 353.201 635.043 5 0.032551 800.555 406.48 964.718 613.388 7 0.030573 456.852 461.355 710.48 693.674 7 0.027639 356.456 555.6 407.423 689.054 ,test/0008.jpg
0 0.999874 291.814 111.048 660.363 978.589 ,test/0009.jpg
