PredictionString,image_id
7 0.9998745918273926 603.0082397460938 516.3934326171875 950.5670776367188 1022.3910522460938 7 0.9997790455818176 218.64186096191406 48.326499938964844 458.9112854003906 477.8717041015625 7 0.9993565082550049 121.30360412597656 423.164306640625 326.9062805175781 710.3411254882812 7 0.9979819059371948 450.1523132324219 602.3165283203125 642.4970703125 873.7967529296875 7 0.9974905252456665 391.7316589355469 195.82443237304688 603.3056640625 540.6971435546875 7 0.9918420314788818 640.535888671875 321.5848083496094 879.7974853515625 618.9146728515625 1 0.9896968007087708 562.9517822265625 106.31124114990234 759.3177490234375 365.0730895996094 7 0.97800612449646 553.9915161132812 338.295166015625 712.9224243164062 605.0271606445312 7 0.9779229760169983 262.184326171875 435.0980224609375 431.5313720703125 591.17724609375 5 0.7048090696334839 239.77049255371094 675.705322265625 299.3666076660156 749.5308227539062 5 0.6765693426132202 337.6881408691406 633.8873291015625 400.7061462402344 723.1116943359375 1 0.6710956692695618 637.6187744140625 257.2708435058594 740.722900390625 346.5650939941406 5 0.4437786340713501 386.91217041015625 681.9473876953125 425.935302734375 721.2935791015625 6 0.39073464274406433 438.9703063964844 470.26702880859375 561.8009643554688 670.04833984375 7 0.3824602961540222 540.8760375976562 186.6274871826172 571.7760009765625 239.0861358642578 7 0.2785159796476364 330.4406433105469 561.2490234375 440.11322021484375 625.887939453125 5 0.2743331864476204 333.804443359375 612.6204833984375 449.39166259765625 736.101806640625 5 0.26111510396003723 347.9029846191406 677.321044921875 428.45147705078125 727.3016357421875 5 0.24397939443588257 399.6374206542969 612.881103515625 451.4474792480469 691.2088012695312 1 0.2368522435426712 632.8187866210938 170.665771484375 742.122314453125 339.84661865234375 0 0.22097721695899963 480.3299255371094 595.1434326171875 565.5318603515625 658.1465454101562 5 0.17876233160495758 434.02008056640625 466.0322570800781 570.2599487304688 671.1976928710938 1 0.14364947378635406 242.42404174804688 680.964599609375 299.8570251464844 750.2949829101562 5 0.12642639875411987 412.552001953125 612.4768676757812 464.8747863769531 715.033447265625 0 0.11815740168094635 241.83749389648438 680.9749755859375 300.0902099609375 750.4803466796875 5 0.10929583758115768 484.80535888671875 589.6043090820312 565.6863403320312 663.0320434570312 5 0.10411897301673889 342.4747009277344 679.343994140625 395.27752685546875 723.0673217773438 5 0.10257645696401596 380.4081115722656 625.9893188476562 439.5850830078125 728.3429565429688 5 0.1001616575 329.13892 638.4793 361.4594 684.87897 0 0.09787228 468.3093 540.0422 558.81146 676.80585 5 0.09569596499204636 390.4621276855469 601.3218994140625 468.61724853515625 733.4251708984375 5 0.08368668 218.38269 698.0144 249.45517 731.8744 ,test/0000.jpg
5 0.9812238216400146 132.0210723876953 1.0913782119750977 497.4124755859375 286.7099304199219 6 0.9499101638793945 757.9484252929688 658.955322265625 894.9200439453125 990.6929321289062 5 0.8692260384559631 348.0628662109375 246.6644744873047 756.8462524414062 694.6802368164062 3 0.2888922393321991 347.5779724121094 249.0477752685547 756.82275390625 697.2805786132812 4 0.19442963600158691 349.0955505371094 245.89938354492188 756.7888793945312 692.0439453125 0 0.18137513101100922 641.0473022460938 657.0553588867188 680.9672241210938 829.9353637695312 2 0.099853785 346.52747 248.93582 757.4385 698.51965 ,test/0001.jpg
1 0.9693329334259033 783.3716430664062 411.2653503417969 1023.671630859375 1024.0 1 0.9608322978019714 422.6417541503906 268.18524169921875 639.6759033203125 327.6434020996094 1 0.8846566677093506 294.0365905761719 311.0840148925781 1003.7432861328125 746.7357177734375 1 0.7112711369991302 666.3322143554688 229.17832946777344 1023.984375 328.77606201171875 1 0.6135721653699875 107.22774505615234 361.16943359375 308.650634765625 598.6736450195312 1 0.5955901443958282 673.4531860351562 226.34840393066406 850.9124145507812 320.59228515625 0 0.593979001045227 312.8021545410156 329.7647705078125 1015.1304931640625 409.5774230957031 1 0.5541741847991943 959.9669189453125 229.68093872070312 1023.8082275390625 344.9223327636719 1 0.5375473201274872 98.24605560302734 277.28350830078125 422.658935546875 589.8365478515625 0 0.3786911219358444 127.47230529785156 310.3629150390625 267.71649169921875 594.3805541992188 0 0.37575310468673706 102.01201629638672 283.32696533203125 426.67431640625 586.8919677734375 6 0.34387166798114777 301.7023620605469 327.577392578125 1002.34814453125 657.5653076171875 0 0.3024301826953888 106.53974914550781 273.908203125 426.2267150878906 416.5692443847656 0 0.30044615268707275 882.05810546875 478.1322021484375 995.7003173828125 628.7377319335938 4 0.27462953329086304 865.7374267578125 241.8826904296875 916.1947021484375 325.40972900390625 1 0.24867935478687286 993.9583740234375 314.3539733886719 1021.0214233398438 389.1877746582031 0 0.2419968694448471 296.324951171875 317.3243713378906 1016.6934814453125 699.2213745117188 0 0.17054057121276855 84.63441467285156 295.5593566894531 335.2232666015625 459.45965576171875 1 0.16310018301010132 120.09684753417969 451.1995544433594 245.50851440429688 604.6873779296875 1 0.16281945 742.1663 236.38214 942.06866 320.9218 1 0.15840035 1000.89795 307.13324 1024.0 331.4013 5 0.15751677006483078 0.12975408136844635 233.08885192871094 152.757568359375 475.9334716796875 0 0.15072184801101685 257.24176025390625 279.7291259765625 302.078125 404.1597900390625 1 0.147443265 669.14087 232.9044 764.12695 321.30762 0 0.14186426997184753 359.9097595214844 323.2771911621094 1021.0439453125 373.85418701171875 1 0.1413746178150177 88.39800262451172 273.6483154296875 424.6122131347656 443.1869812011719 0 0.130353465 659.2248 292.50684 751.32245 320.66742 0 0.1236888925 233.93095 277.6726 319.14987 422.64203 1 0.1025625690817833 0.0 232.59852600097656 164.40538024902344 466.0737609863281 1 0.09805888682603836 869.8163452148438 245.61289978027344 913.6419677734375 324.7251892089844 0 0.094938125 868.48834 245.517 917.05597 321.94357 0 0.09193015 186.0931 378.02954 236.28447 563.4589 ,test/0002.jpg
9 0.9996289610862732 151.2908477783203 263.2105712890625 912.5156860351562 828.2551879882812 9 0.8625707626342773 13.045907020568848 25.877283096313477 991.4995727539062 990.1310424804688 9 0.44438979029655457 0.0 8.514324188232422 1011.1448364257812 480.79315185546875 9 0.15579325 0.0 667.99695 993.5903 1019.7816 9 0.12222281 8.021393 0.0 376.2702 1024.0 ,test/0003.jpg
1 0.9813506007194519 199.12066650390625 262.0255432128906 867.6307373046875 778.45947265625 1 0.4855601638555527 428.8453369140625 407.456787109375 655.7382202148438 564.593994140625 0 0.4246046245098114 437.6725769042969 407.7740783691406 654.6571044921875 556.8060913085938 9 0.121730745 432.5682 406.76212 658.4016 560.4203 2 0.081761025 420.07758 404.06616 655.1109 562.4692 ,test/0004.jpg
2 0.9999804496765137 348.8341979980469 227.34716796875 771.3523559570312 705.8253173828125 ,test/0005.jpg
5 0.9713420867919922 356.27239990234375 452.266357421875 836.3849487304688 722.9246826171875 7 0.9685696959495544 276.1089172363281 13.511263847351074 415.0006103515625 174.03004455566406 0 0.9478499293327332 896.9226684570312 785.99169921875 1022.95458984375 915.998291015625 4 0.9104323387145996 427.1062927246094 20.444276809692383 665.5703735351562 275.32598876953125 5 0.7703677415847778 61.868831634521484 374.8126220703125 225.96080017089844 740.2853393554688 5 0.7452262043952942 0.33259809017181396 69.73023223876953 69.77384948730469 219.6275634765625 0 0.5401263982057571 600.7706909179688 0.0 702.394775390625 84.5394058227539 0 0.5217112898826599 1.8874012231826782 809.1419677734375 91.12456512451172 940.5452270507812 0 0.48055408895015717 195.6942901611328 549.6063842773438 285.2936706542969 706.0487670898438 0 0.4539046883583069 190.33572387695312 644.0528564453125 312.27001953125 873.5218505859375 7 0.2458804 193.50584 661.70685 319.4476 878.2896 5 0.23680491745471954 192.1597900390625 640.3599243164062 303.6562194824219 869.2521362304688 4 0.1898694 59.119316 381.19608 223.00772 746.33154 3 0.178636725 0.91651154 69.023254 69.37915 219.82645 0 0.1438734375 300.09415 634.54047 379.2073 745.16376 1 0.112980395 601.71606 0.0 701.12744 83.50144 5 0.10517385601997375 199.12295532226562 548.7730102539062 282.7976379394531 705.1829833984375 3 0.09615805000066757 190.95387268066406 651.4111938476562 314.97662353515625 872.3485717773438 ,test/0006.jpg
9 0.9644054174423218 290.2779846191406 82.70074462890625 965.0794067382812 749.7216186523438 1 0.9508691430091858 245.70953369140625 885.5155029296875 609.9669189453125 1023.3316650390625 0 0.715472400188446 96.09417724609375 61.224857330322266 1003.7470703125 932.242431640625 0 0.44716036319732666 0.19630004465579987 535.19921875 306.9789733886719 1021.9662475585938 1 0.43712514638900757 114.30719757080078 92.35396575927734 925.9864501953125 925.159912109375 7 0.4285818636417389 1.4571951627731323 866.9159545898438 26.14588737487793 1021.7716674804688 9 0.20936939120292664 566.3817138671875 485.5570373535156 897.0130615234375 737.6945190429688 5 0.18043165281414986 3.0248312950134277 866.9873046875 26.146909713745117 1021.5408325195312 1 0.1551649272441864 883.8700561523438 889.5980834960938 1022.8046875 1022.7385864257812 9 0.1374796 353.78482 146.45581 550.3511 676.06885 0 0.08035655 777.4262 89.08884 866.92474 185.36942 ,test/0007.jpg
7 0.9997977614402771 161.30514526367188 534.2451782226562 468.0310974121094 959.5137329101562 7 0.9992890357971191 391.6816711425781 464.8755798339844 697.630126953125 874.729736328125 7 0.9991558194160461 5.115114212036133 614.4368286132812 180.38694763183594 875.258544921875 7 0.9987800717353821 1.60221529006958 358.7604675292969 275.46405029296875 640.2591552734375 7 0.9611508846282959 680.8341064453125 528.9630737304688 791.598388671875 697.955322265625 7 0.9327152371406555 226.4903106689453 491.426025390625 324.73297119140625 562.3128051757812 7 0.8806844353675842 535.6161499023438 426.6617736816406 712.5079956054688 615.201904296875 1 0.8469864130020142 646.5435791015625 643.4078979492188 723.4686889648438 759.97509765625 0 0.8021467924118042 106.04178619384766 907.7420654296875 170.2798309326172 971.9749145507812 6 0.7431860715150833 775.189208984375 281.6916198730469 974.9114990234375 615.038818359375 7 0.7255635261535645 355.5061950683594 497.07464599609375 462.9644470214844 691.123779296875 7 0.41597267985343933 1.3571585416793823 536.6968994140625 48.73395538330078 679.6288452148438 7 0.37329408526420593 509.8580017089844 430.6284484863281 794.0170288085938 701.3968505859375 1 0.3228004574775696 360.1410217285156 498.65130615234375 459.52398681640625 622.3494262695312 1 0.2827718183398247 152.29847717285156 575.3509521484375 200.96310424804688 659.2078247070312 5 0.23605454 774.7544 277.6705 979.12476 608.194 1 0.21161463856697083 106.46214294433594 906.6602172851562 170.13243103027344 971.6126098632812 7 0.18119703233242035 149.00650024414062 518.6799926757812 257.36822509765625 662.8258056640625 0 0.17677414417266846 356.0607604980469 125.63720703125 420.9817199707031 222.1482696533203 6 0.17028025 676.46783 447.6244 813.77277 633.18884 5 0.146676465 686.4348 532.3453 790.2279 696.9682 1 0.1184305325 677.6629 445.60397 811.52264 634.67523 5 0.10140081495046616 710.999755859375 502.18231201171875 814.2384033203125 612.9365234375 1 0.095759235 148.44037 508.59415 250.69733 660.64026 5 0.09575840458273888 679.3849487304688 449.29864501953125 812.4033203125 663.0133056640625 ,test/0008.jpg
0 0.9998739957809448 291.8139953613281 111.04815673828125 660.3633422851562 978.5892944335938 ,test/0009.jpg
