PredictionString,image_id
0 0.08229057 638.64087 251.03474 758.70935 342.62988 0 0.061474364 673.31793 259.3085 727.1054 314.79605 0 0.058868375 651.41675 187.31293 683.17114 238.39029 1 0.9993104 566.11774 116.35951 762.6403 358.59875 1 0.8713563 475.7739 553.9186 561.9147 655.45667 1 0.70456356 634.2529 177.7934 749.4978 338.8199 1 0.6757049 672.6941 258.56485 726.4514 313.75357 1 0.42119545 362.59024 682.2162 424.77957 723.95215 1 0.16677772 474.46362 576.47205 561.68494 649.97705 1 0.14977096 638.64087 251.03474 758.70935 342.62988 1 0.10752105 574.63605 143.16148 754.4549 355.6718 1 0.100861214 538.7906 187.25516 570.17975 236.97583 1 0.089926705 471.37778 554.90686 557.0388 602.76746 1 0.08529425 645.94916 183.59756 732.133 314.60785 1 0.066167206 328.9716 639.2334 354.4896 680.6101 1 0.053532284 673.3719 259.78156 726.611 310.75024 2 0.46599805 328.92535 638.997 354.83014 680.69037 2 0.14351372 673.71204 260.37015 726.6216 312.99753 5 0.9987962 246.58118 681.4738 302.6353 749.7458 5 0.9713987 394.2995 616.616 447.161 689.79974 5 0.9062313 354.62723 680.80835 428.47507 726.3379 5 0.8764427 340.16846 639.76306 395.7445 718.2013 5 0.63577044 480.63837 596.57874 574.9482 664.3779 5 0.55990624 435.03888 461.46875 572.5429 679.3822 5 0.5300307 371.48578 554.00946 441.98145 641.29767 5 0.4708827 328.87933 639.4276 355.9344 680.1008 5 0.46631387 461.44687 550.2842 568.69934 670.2079 5 0.46203434 334.82928 671.0185 453.03253 738.87787 5 0.39831477 327.36093 638.527 389.7214 689.2727 5 0.32412574 339.59787 635.1495 433.47324 729.9095 5 0.30552727 216.47014 697.078 249.60793 731.6731 5 0.2084219 322.42828 559.53156 444.33942 625.48334 5 0.14015809 330.4005 586.1118 456.99066 746.55786 5 0.13918008 325.75662 567.9994 382.60757 620.7262 5 0.13460787 478.64648 587.7105 565.9375 660.38385 5 0.12396741 362.29742 681.79083 424.95374 724.56635 5 0.10747462 386.64648 569.97217 437.68585 621.2859 5 0.10643795 417.97983 614.0675 449.31113 680.87573 5 0.0955982 398.12122 616.6331 445.4986 689.946 5 0.09093753 377.4735 572.74915 412.02307 633.5333 5 0.0772923 330.3075 637.9478 394.2625 703.13007 5 0.073184356 367.5231 610.2546 417.45236 638.5308 5 0.053749535 247.04279 682.6433 302.07184 748.2914 6 0.8040313 431.19778 460.28937 574.15125 681.0522 7 0.9999639 605.68536 520.8678 949.6535 1019.72144 7 0.99994826 217.95706 47.462387 453.34335 478.29504 7 0.999925 111.94093 420.89096 329.14954 710.4033 7 0.9997676 392.42856 191.872 607.09863 546.8622 7 0.99963224 448.39584 592.27234 650.0784 872.0592 7 0.99959046 641.29926 336.28552 878.10504 625.4312 7 0.99872893 557.29944 342.26782 715.0719 595.21173 7 0.98606175 258.8105 439.46613 428.79236 609.4561 7 0.722977 321.84485 558.1034 442.91077 626.0448 7 0.6123004 539.714 186.95062 570.5366 237.69296 7 0.5230568 216.08531 697.06885 249.73582 731.8584 7 0.215717 326.57983 568.568 380.57782 618.5355 7 0.12189509 118.12326 416.39346 216.41678 539.87 7 0.11969875 325.07782 562.486 420.05432 621.8515 7 0.11913278 267.74625 424.95013 336.9467 460.5467 7 0.08761942 262.13065 440.9488 431.50974 629.2497 7 0.08373443 546.6891 344.03885 717.5239 600.7328 7 0.06270214 359.2059 552.1211 444.17142 646.41516 7 0.06161455 393.40182 616.3198 448.45175 690.5668 7 0.056306835 112.41761 418.53296 322.16522 715.0598 7 0.0528114 389.29877 188.84074 602.1996 550.1177 ,test/0000.jpg
0 0.5311726 638.86914 643.91125 687.9219 848.7051 4 0.9909826 343.2682 248.22476 758.125 691.49365 5 0.9999218 137.17258 0.035614014 500.0439 277.53238 5 0.1700497 335.39288 247.47043 757.66095 697.5912 6 0.8023021 756.576 661.00024 899.5334 989.93225 ,test/0001.jpg
0 0.9334316 879.6505 462.99966 1012.6172 631.49304 0 0.92281675 822.64087 796.29285 878.1598 935.89514 0 0.825157 366.80112 328.9608 1003.52014 429.6768 0 0.7094506 332.28754 319.34982 1015.89667 382.3195 0 0.2951701 86.88905 269.6449 402.23895 597.25824 0 0.18942909 266.63373 280.77612 309.12085 435.80206 0 0.17860855 135.68126 280.7292 414.60748 369.9864 0 0.15687616 350.80365 335.4904 1012.32965 379.03317 0 0.12789862 880.5472 471.05673 995.5972 630.6204 0 0.12634751 395.49124 325.62506 986.79956 450.2838 0 0.12473047 164.70471 291.24875 257.12057 308.3378 0 0.11061137 149.36078 304.97803 368.5769 448.88074 0 0.10986475 235.5877 276.33563 338.30737 541.86505 0 0.078385614 164.53532 285.57047 307.50885 310.9642 0 0.058889832 779.7177 344.94916 993.6984 366.6305 0 0.054384507 102.50654 300.30795 336.94125 590.06506 0 0.05367422 349.38315 340.2383 1008.7466 402.51035 0 0.052524567 12.986084 281.1137 994.04285 467.38232 1 0.99962604 288.59824 318.9914 951.85767 751.4438 1 0.99892837 773.7737 408.95938 1023.34863 1024.0 1 0.99838305 424.7675 269.9878 640.1689 326.96472 1 0.9945696 84.12738 271.00323 389.70654 608.6283 1 0.96511483 747.07086 229.12221 1019.8073 373.23688 1 0.8821406 670.17206 228.4387 976.3276 331.11182 1 0.82363236 765.3322 228.95651 881.9814 327.45963 1 0.5609102 0.0 235.76166 147.45065 461.7135 1 0.4926989 676.94 228.24812 836.534 324.65723 1 0.27218533 973.6138 232.12198 1024.0 246.46164 1 0.24791545 995.6315 305.05667 1024.0 394.21982 1 0.22693677 760.9156 231.62198 920.4294 328.27054 1 0.13446064 87.488846 281.13214 362.08112 600.1086 1 0.1280396 677.16486 230.043 794.8754 323.5568 1 0.096512504 771.48486 227.93346 864.95044 236.7715 1 0.09169664 634.6393 287.23035 1013.87366 371.08905 1 0.0887792 668.2525 229.19312 1023.5496 354.9303 1 0.070292644 298.7517 311.71457 970.9359 745.64014 1 0.069450766 426.23944 268.08093 640.2431 328.9156 1 0.064844534 286.11136 262.6624 1024.0 422.68787 1 0.05380876 372.04688 316.24783 1007.3169 374.3665 2 0.57717824 678.56445 230.09212 775.9568 326.56766 2 0.19796376 676.98627 229.12177 827.1757 324.8958 3 0.08667976 0.0 233.99854 145.89572 463.84558 4 0.9895034 870.61273 245.1578 914.471 325.0936 4 0.2321861 995.6654 306.2872 1024.0 394.48904 4 0.062552914 871.6057 243.0764 915.3334 325.12167 5 0.5981943 0.0 234.30768 147.16486 463.57263 5 0.31987563 995.6315 305.05667 1024.0 394.21982 5 0.08288241 869.6649 245.64075 914.9468 324.8205 ,test/0002.jpg
9 0.99968815 165.03363 261.88147 891.97943 815.24866 9 0.9887804 25.839264 47.713226 1011.44214 924.8076 9 0.1449865 0.0 0.0 558.7904 1008.2312 9 0.10450147 15.365265 196.7261 1021.75 1002.93445 ,test/0003.jpg
0 0.13666613 445.07126 407.2246 653.9992 567.2895 0 0.13523291 244.17245 289.56674 669.2085 637.8386 1 0.99749255 196.84067 259.38113 850.8358 781.00696 1 0.122809894 244.17245 289.56674 669.2085 637.8386 1 0.055526223 199.90292 255.9592 830.09204 773.6212 9 0.99360895 448.0224 408.1379 655.62994 563.1463 9 0.14141087 454.22314 403.50485 647.11816 553.87256 ,test/0004.jpg
2 0.9999901 355.71045 225.75522 777.73816 700.65894 ,test/0005.jpg
0 0.49260616 604.17755 0.0 702.52606 84.29469 0 0.2462284 899.8777 788.7376 1023.80835 916.0776 0 0.23261389 715.4692 877.3697 870.9676 940.7725 0 0.13175721 87.58454 734.4269 136.59686 871.4971 0 0.08448781 280.4671 379.09494 427.95062 685.85693 0 0.075874105 200.67188 365.82416 416.66504 754.5109 0 0.050280698 718.30646 883.50903 830.9368 939.4155 1 0.88008326 192.96078 550.11053 294.074 716.3643 1 0.43598917 600.8945 0.0 703.8841 85.071106 1 0.066301875 189.76712 655.71295 310.0592 871.7564 1 0.064888135 191.578 554.0333 314.89975 818.8624 1 0.058539078 192.54047 547.79834 283.8048 710.99084 3 0.9443009 0.48534775 66.72637 70.35953 220.92676 4 0.83820266 358.91724 450.72937 829.8855 723.9247 4 0.57381374 430.46515 8.793564 661.492 282.02887 5 0.9053677 894.71155 787.8516 1024.0 915.85565 5 0.7942475 64.99189 377.30704 227.97852 747.83057 5 0.7609644 190.2756 655.61676 309.60376 872.9809 5 0.4709009 353.4431 446.57922 837.2605 720.15564 5 0.14453687 0.5625038 67.00295 70.836105 220.98248 5 0.12838978 193.68864 551.5921 294.7262 718.9245 5 0.05436409 899.4657 790.6727 1022.66626 913.6295 6 0.32217 602.5658 0.59988785 705.1869 84.82214 7 0.9808961 276.35715 17.230148 412.57742 167.06653 7 0.6877921 321.1955 392.3671 428.38354 597.4206 7 0.46731552 277.54935 384.55493 433.69302 675.5774 7 0.16385087 357.20383 380.14172 426.98154 684.55457 7 0.07115896 272.80356 414.74985 374.96243 660.90137 7 0.051904026 896.9293 788.5335 1023.25525 917.2249 ,test/0006.jpg
0 0.98061186 128.0422 12.473785 988.03296 1004.3021 0 0.976157 7.3403015 531.1808 324.2063 1022.75854 0 0.7259741 318.9703 64.463684 940.8939 732.32574 0 0.24985512 318.63593 7.834793 994.5213 351.55725 0 0.21672569 345.87708 102.71307 883.9634 233.59491 0 0.20809434 742.1518 197.13718 989.06757 572.4442 0 0.105712116 291.18307 9.575958 1006.6782 609.4591 0 0.09391427 6.0689087 498.29092 978.0891 1024.0 0 0.08551729 758.75977 89.97419 874.91003 186.65897 0 0.07770278 601.45575 94.03917 987.47235 585.299 0 0.07080722 6.074692 528.175 354.43945 1024.0 0 0.061179727 158.67526 83.48782 945.6908 901.7959 1 0.9958954 885.17004 897.00397 1019.22217 1021.9079 1 0.87810534 217.2185 898.5051 376.58832 1023.8071 1 0.37071016 372.48737 117.24272 875.22955 229.73994 1 0.33568925 703.1594 90.01898 871.6647 189.26767 1 0.32003158 120.32358 110.4989 923.02014 936.3407 1 0.13232315 196.03825 897.9038 593.94464 1024.0 1 0.052351877 882.86615 900.3956 1020.49396 1022.10986 5 0.097740956 0.59725475 867.093 25.13807 1023.2158 5 0.050302085 214.35114 103.438965 922.0672 823.7499 7 0.6843198 0.24858665 867.67 23.560751 1024.0 7 0.076030955 160.32587 101.98645 932.14935 903.3047 9 0.857571 335.23596 106.7977 908.2799 708.94006 9 0.24928454 528.08374 484.40515 903.3125 741.699 9 0.22751822 160.32587 101.98645 932.14935 903.3047 9 0.17702895 707.50446 85.32596 940.0384 580.2897 9 0.10638378 361.3284 109.12909 838.43884 713.9686 ,test/0007.jpg
1 0.99762326 644.4973 632.53467 720.7809 762.28613 1 0.9904199 104.734535 905.3149 167.94446 971.6672 1 0.34527072 150.87994 538.0112 256.137 662.2969 1 0.055383712 359.5252 497.01306 448.32568 591.5674 1 0.052433703 103.136024 904.4162 166.92233 971.8011 5 0.07164795 547.3398 431.799 722.029 619.36346 6 0.99844766 774.2207 280.5571 977.8196 613.4159 6 0.23601384 659.9507 454.4759 809.8412 590.7215 6 0.07653773 546.96014 431.16177 721.9731 618.3995 6 0.06930404 778.22345 285.90674 972.81757 609.57056 7 0.999926 154.5651 516.3025 462.33145 968.8197 7 0.9998418 403.6428 455.61035 687.9387 872.60864 7 0.99979585 693.1316 527.73285 790.4962 697.44037 7 0.9995919 2.1720505 617.3605 187.54858 876.80164 7 0.99949646 3.8152924 356.11356 273.03735 644.32214 7 0.9837165 358.32098 499.8015 482.09857 697.0936 7 0.9657547 357.465 497.12314 478.35556 598.8897 7 0.926764 547.2383 432.07715 722.38574 619.34534 7 0.90283066 671.77893 451.4379 810.9335 619.74963 7 0.84311515 348.7038 124.18872 420.61774 225.2586 7 0.81664574 216.72498 489.75375 334.42578 573.71985 7 0.40262982 152.92155 534.068 242.92616 669.39795 7 0.36541003 151.33122 486.2091 340.87103 676.05664 7 0.30056292 360.4655 497.46237 447.67505 591.8745 7 0.24487853 432.59784 504.3352 486.0296 603.1139 7 0.21157183 686.12775 454.6518 811.27814 669.1999 7 0.101649165 209.94025 492.53815 340.7044 582.0474 7 0.07863958 150.87994 538.0112 256.137 662.2969 7 0.07818935 357.7921 504.156 483.36157 663.76953 7 0.065696925 696.503 529.86816 787.0301 698.8115 7 0.05555007 507.01572 443.96313 730.02673 620.08484 ,test/0008.jpg
0 0.9999584 285.88757 113.80524 665.4378 963.33563 0 0.061229724 297.72736 117.39093 669.58594 977.93243 ,test/0009.jpg
